index,month,monthly_cases,monthly_death,date
0,2020-01,6.0,0.0,2020-01-22
1,2020-02,63.0,1.0,2020-02-01
2,2020-03,188391.0,4303.0,2020-03-01
3,2020-04,887295.0,58836.0,2020-04-01
4,2020-05,723546.0,41239.0,2020-05-01
5,2020-06,854019.0,23083.0,2020-06-01
6,2020-07,1918348.0,26400.0,2020-07-01
7,2020-08,1473786.0,29610.0,2020-08-01
8,2020-09,1217279.0,23380.0,2020-09-01
9,2020-10,1946259.0,23660.0,2020-10-01
10,2020-11,4406746.0,37519.0,2020-11-01
11,2020-12,6411138.0,78019.0,2020-12-01
12,2021-01,6199210.0,95249.0,2021-01-01
13,2021-02,2404912.0,71680.0,2021-02-01
14,2021-03,1857336.0,38678.0,2021-03-01
15,2021-04,1885973.0,23979.0,2021-04-01
16,2021-05,547410.0,9086.0,2021-05-01
